Integer,Index
2.537352256070541,0
6.2920405767630365,1
7.196630777478441,2
8.420088926664054,3
9.455991728583074,4
9.802430656427624,5
9.834394092670816,6
9.906292905467922,7
10.308224767124097,8
10.451572931023428,9
10.498780694610373,10
10.5433878075643,11
10.825194897449519,12
10.919417525556444,13
11.04739494229116,14
11.08438751528224,15
11.108531523375103,16
11.600784965426667,17
12.214699457435694,18
12.426060753589043,19
12.516793442835208,20
12.560637006325962,21
12.619522622155367,22
12.688538762629765,23
12.744792015933783,24
12.827752343014597,25
12.899464634182248,26
12.91700373315261,27
13.027482979940553,28
13.105771263152116,29
13.247960710084785,30
13.297418150109293,31
13.315781797475974,32
13.402118121379443,33
13.583237952023293,34
13.603071406553337,35
13.608346419985663,36
13.976381001281897,37
14.034805338546617,38
14.14943440661512,39
14.152373750289016,40
14.340750990987871,41
14.478787893081115,42
14.64378635184741,43
14.65949797280255,44
14.741758003544586,45
14.817733520116553,46
14.832381441577768,47
14.901519320814954,48
14.950651778843813,49
14.993022007549872,50
15.05955655345374,51
15.07461094869181,52
15.121664450068023,53
15.131896354343557,54
15.156376152688981,55
15.264868773387464,56
15.297882698806555,57
15.30559009812674,58
15.36933615160511,59
15.382843783377997,60
15.420148661659137,61
15.44086137414723,62
15.485106710365919,63
15.516793665593585,64
15.523858291261217,65
15.526449947949876,66
15.539308299988953,67
15.541848572948975,68
15.593360524980408,69
15.720573305167331,70
15.772621333434225,71
15.790210033311268,72
15.88669719222572,73
15.890738027144854,74
15.931153834930726,75
15.932673920681044,76
15.972500978997463,77
15.99367544165035,78
16.023188468243728,79
16.054530294389252,80
16.06220543309848,81
16.066312007717443,82
16.104911775165007,83
16.127515007708663,84
16.158689166700178,85
16.270702256566768,86
16.364386530390604,87
16.440459752846376,88
16.567565881139302,89
16.65434723527976,90
16.681860305878356,91
16.68477165632974,92
16.71655465244653,93
16.751241776246907,94
16.79852180195094,95
16.829667769670348,96
17.024134401549542,97
17.036891798094928,98
17.102801572758388,99
17.150479710377923,100
17.165055541877027,101
17.16547538605711,102
17.17113317491432,103
17.373918230744486,104
17.37536728357893,105
17.387381021349686,106
17.44475666731503,107
17.45150634351817,108
17.481870262118687,109
17.52818549843292,110
17.53793644206074,111
17.56070651488028,112
17.56206599252697,113
17.56416093680792,114
17.580926971959443,115
17.591456243618623,116
17.702120124638263,117
17.7150869672691,118
17.73123976203037,119
17.734269151595836,120
17.741326293668102,121
17.805549171461085,122
17.996384125313117,123
18.0380513329825,124
18.064317864211787,125
18.150746381632736,126
18.315644040906818,127
18.321002979840042,128
18.324205144323127,129
18.340522475716593,130
18.41442683106429,131
18.455212012933753,132
18.489606339615502,133
18.49422044726531,134
18.515879580988283,135
18.52376205874252,136
18.541241706480886,137
18.630916541467197,138
18.731104315755637,139
18.73337922935566,140
18.77695386433586,141
18.791660194222874,142
18.800591040748042,143
18.82248787354757,144
18.829344322002818,145
18.866382373288392,146
18.878684328199814,147
19.005424978498805,148
19.03907791670911,149
19.044361357874987,150
19.079554306759725,151
19.13161497051837,152
19.133847904269167,153
19.175663497220693,154
19.181015005597345,155
19.18391926161625,156
19.18925351315897,157
19.20627023718832,158
19.218519205985363,159
19.223059134962444,160
19.240325046034688,161
19.269414533339635,162
19.286874124629062,163
19.292569074565886,164
19.34334100710987,165
19.352411815801005,166
19.356572290803037,167
19.389420938390245,168
19.39448891058759,169
19.3955028259958,170
19.432606495966265,171
19.4343584060981,172
19.473325760849857,173
19.49012488954331,174
19.548369046097886,175
19.5569141256296,176
19.557192332680355,177
19.575646356175735,178
19.606343951813457,179
19.694237717552994,180
19.794176778509314,181
19.830756498260175,182
19.880436995037307,183
19.886583822574725,184
19.888369259314537,185
19.908402109083436,186
19.991420479093108,187
19.99785378534796,188
20.016395045863035,189
20.025603131083535,190
20.056445916930475,191
20.076642379943355,192
20.09034405458783,193
20.145372647557586,194
20.214377245484314,195
20.245205891916598,196
20.252114102023256,197
20.25789360106287,198
20.31824545628567,199
20.336446630689046,200
20.37231146448111,201
20.378050165411874,202
20.42846355175624,203
20.430704300188186,204
20.431297375417223,205
20.472644232870575,206
20.47477358812189,207
20.549318436262993,208
20.562216162043672,209
20.563431068473992,210
20.581614039455374,211
20.59298063604172,212
20.67375188071587,213
20.774125216114623,214
20.82801157476958,215
